log,TrainLoss,TrainLossRelative,TestLoss,TestLossRelative,TestLoss2,TestLoss2Relative,TestLoss3,TestLoss3Relative
ndcn_heat_grid_D1.txt,0.161161,0.012691,0.265687,0.020922,0.237152,0.018675,84.654411,6.666375
ndcn_heat_grid_D2.txt,0.22741,0.018399,0.212229,0.01717,0.191841,0.015521,56.038136,4.53375
ndcn_heat_grid_D3.txt,0.112411,0.009459,0.114393,0.009626,0.10562,0.008888,32.227097,2.711879
ndcn_heat_grid_D4.txt,0.199402,0.015254,0.262491,0.02008,0.221797,0.016967,20.983412,1.605171
ndcn_heat_grid_D5.txt,0.118091,0.009281,0.13969,0.010978,0.114163,0.008972,16.179926,1.271588
ndcn_heat_grid_D6.txt,0.125986,0.010087,0.14992,0.012004,0.118285,0.009471,40.927338,3.276977
ndcn_heat_grid_D7.txt,0.221927,0.017579,0.200524,0.015884,0.19143,0.015163,38.411251,3.042601
ndcn_heat_grid_D8.txt,0.114834,0.008621,0.152493,0.011448,0.123295,0.009256,30.802212,2.312469
ndcn_heat_grid_D9.txt,0.216339,0.017535,0.204323,0.016561,0.189493,0.015359,34.714947,2.813733
ndcn_heat_grid__mean,0.1696113,0.0135095,0.1901891,0.0150992,0.1687165,0.0134098,40.4073957,3.2240917
ndcn_heat_grid__std,0.045702837,0.003707605,0.048121385,0.003702621,0.046033391,0.003611831,18.54289789,1.480108357
ndcn_heat_grid__mean,0.17,0.014,0.19,0.015,0.169,0.013,40.407,3.224
ndcn_heat_grid__std,0.046,0.004,0.048,0.004,0.046,0.004,18.543,1.48
ndcn_heat_grid__mean_std,0.17+0.046,0.014+0.004,0.19+0.048,0.015+0.004,0.169+0.046,0.013+0.004,40.407+18.543,3.224+1.48
,,,,,,,,
ndcn_heat_power_law_D0.txt,0.139668,0.011393,0.129445,0.010559,0.100886,0.008229,14.18084,1.156752
ndcn_heat_power_law_D1.txt,0.160024,0.012239,0.154371,0.011807,0.150279,0.011494,25.806587,1.973729
ndcn_heat_power_law_D2.txt,0.164091,0.01385,0.168818,0.014249,0.140493,0.011859,20.956444,1.76888
ndcn_heat_power_law_D3.txt,0.161937,0.012451,0.166766,0.012822,0.156466,0.01203,21.145592,1.62581
ndcn_heat_power_law_D4.txt,0.189212,0.015186,0.146428,0.011752,0.178335,0.014313,16.923534,1.358268
ndcn_heat_power_law_D5.txt,0.134625,0.010557,0.1364,0.010697,0.15562,0.012204,26.954365,2.113769
ndcn_heat_power_law_D6.txt,0.217412,0.017679,0.259509,0.021102,0.16645,0.013535,29.19108,2.37372
ndcn_heat_power_law_D7.txt,0.145506,0.011716,0.134528,0.010832,0.15785,0.012709,28.887529,2.325915
ndcn_heat_power_law_D8.txt,0.146688,0.01149,0.244195,0.019128,0.139873,0.010956,24.996174,1.957953
ndcn_heat_power_law_D9.txt,0.229119,0.018714,0.250626,0.020471,0.198477,0.016211,42.219776,3.448486
ndcn_heat_power_law__mean,0.1688282,0.0135275,0.1791086,0.0143419,0.1544729,0.012354,25.1261921,2.0103282
ndcn_heat_power_law__std,0.031004191,0.002657468,0.049021767,0.004019187,0.024420573,0.002007911,7.395944473,0.606189365
ndcn_heat_power_law__mean,0.169,0.014,0.179,0.014,0.154,0.012,25.126,2.01
ndcn_heat_power_law__std,0.031,0.003,0.049,0.004,0.024,0.002,7.396,0.606
ndcn_heat_power_law__mean_std,0.169+0.031,0.014+0.003,0.179+0.049,0.014+0.004,0.154+0.024,0.012+0.002,25.126+7.396,2.01+0.606
,,,,,,,,
ndcn_heat_random_D0.txt,0.225433,0.018805,0.155026,0.012932,0.169283,0.014121,39.451168,3.290851
ndcn_heat_random_D1.txt,0.210167,0.017057,0.236034,0.019157,0.231592,0.018796,16.196947,1.314567
ndcn_heat_random_D2.txt,0.147516,0.01194,0.14755,0.011943,0.154075,0.012471,15.496245,1.254276
ndcn_heat_random_D3.txt,0.1607,0.013297,0.172019,0.014234,0.175474,0.014519,14.555229,1.20436
ndcn_heat_random_D4.txt,0.171816,0.013373,0.164946,0.012839,0.169002,0.013154,27.247583,2.120816
ndcn_heat_random_D5.txt,0.149931,0.011894,0.180718,0.014336,0.148764,0.011801,25.415152,2.016147
ndcn_heat_random_D6.txt,0.259934,0.020904,0.242159,0.019475,0.231997,0.018658,9.581901,0.770592
ndcn_heat_random_D7.txt,0.147434,0.012537,0.132039,0.011228,0.16151,0.013734,38.404274,3.265677
ndcn_heat_random_D8.txt,0.144109,0.011522,0.178505,0.014272,0.145316,0.011618,63.703674,5.093295
